x,y,type
3,12.571941252847182,up
8,19.823657449382864,up
13,69.42905071348916,up
18,74.41301813655647,up
23,91.75094694875577,up
28,82.36416537405658,up
33,77.26533204019674,up
38,90.31303803906576,up
43,80.42319684845343,up
48,48.098868084272894,up
53,39.718205741400055,up
58,32.603722085151134,up
63,28.005673794713502,up
68,33.494975406184935,up
3,7.276736493936056,mean
8,12.764900819161994,mean
13,22.03567919682318,mean
18,50.21156683294211,mean
23,50.4068009717479,mean
28,43.28776817051711,mean
33,39.95248670796701,mean
38,47.962772830231586,mean
43,43.36586182603942,mean
48,24.651437561405558,mean
