x,y,type
3,138228941.6846652,up
3,116630669.54643625,mean
3,95896328.29373646,down
8,154643628.5097192,up
8,139092872.57019436,mean
8,90712742.9805615,down
13,126997840.17278612,up
13,120086393.08855289,mean
13,40604751.619870365,down
18,203023758.099352,up
18,136501079.91360688,mean
18,57019438.444924414,down
23,247084233.26133907,up
23,126133909.28725702,mean
23,69978401.72786176,down
28,251403887.68898487,up
28,152915766.73866087,mean
28,110583153.34773213,down 
33,286825053.99568033,up
33,228077753.7796976,mean
33,121814254.85961121,down 
38,296328293.7365011,up
38,208207343.41252697,mean
38,129589632.8293736,down
43,261771058.31533474,up
43,171922246.22030234,mean
43,85529157.66738659,down
48,287688984.8812095,up
48,188336933.04535633,mean
48,117494600.43196541,down
53,264362850.97192222,up
53,175377969.762419,mean
53,115766738.66090709,down
58,289416846.6522678,up  
58,223758099.35205185,mean
58,106263498.92008638,down
63,233261339.09287256,up
63,170194384.44924402,mean
63,44060475.161987066,down
68,370626349.8920086,up
68,280777537.7969762,mean
68,106263498.92008638,down

