x,y,type
3,138228941.6846652,up
3,116630669.54643625,mean
3,95896328.29373646,down
8,154643628.5097192,up
8,139092872.57019436,mean
8,90712742.9805615,down
13,126997840.17278612,up
13,120086393.08855289,mean
13,40604751.619870365,down
18,203023758.099352,up
18,136501079.91360688,mean
18,57019438.444924414,down
23,247084233.26133907,up
23,126133909.28725702,mean
23,69978401.72786176,down
28,251403887.68898487,up
28,152915766.73866087,mean
28,110583153.34773213,down 
33,286825053.99568033,up
33,228077753.7796976,mean
33,121814254.85961121,down 
38,296328293.7365011,up
38,208207343.41252697,mean
38,129589632.8293736,down

