x,y,type
3,945131265.9933096,up
3,668173878.2929299,mean
3,532866452.240836,down
8,778272303.6166635,up
8,590113637.0960984,mean
8,359668177.1011261,down
13,818606060.2154143,up
13,619870055.3682734,mean
13,446510638.5721561,down
18,903337565.9875085,up
18,732089104.8903271,mean
18,488958573.70297086,down
23,941553921.2210672,up
23,698423390.0337111,mean
23,529285884.6354654,down
28,950174999.8388586,up
28,738753923.7993337,mean
28,569619641.2342163,down
33,924969221.9436264,up
33,711437190.2051656,mean
33,506361872.5949608,down
38,903988578.2793941,up
38,753878679.6697242,mean
38,553031719.1236473,down
43,872437041.9548419,up
43,711759473.5179803,mean
43,532054298.29254305,down
48,933909361.0411043,up
48,733068846.1612836,mean
48,566048742.1282303,down
53,845278227.183953,up
53,646545445.1699401,mean
53,447812663.1559272,down
58,896186099.2761519,up
58,786245592.7756975,mean
58,600197881.9540683,down
63,824465170.8423843,up
63,617275674.7001154,mean
63,454480704.898062,down
68,997988952.128037,up
68,797141991.5819601,mean
68,699893001.9401459,down

