x,y,type
3,715697458.3528578
3,395441624.82355,mean
3,305928355.6043887,down
8,442139960.2514181,up
8,243388357.83760786,mean
8,227694743.8155409,down
13,51465688571474767,up
13,336576577.73795795,mean
13,164336150.2043984,down
18,803729257.218569,up
18,412844923.71553993,mean
18,296294979.72176015,down
23,733988269.3208811,up
23,434154296.3588432,mean
23,328465478.51799214,down
28,657884276.6889112,up
28,504083329.5733615,mean
28,350026660.63436186,down
33,847168317.4716027,up
33,605728263.6019673,mean
33,473492866.2605635,down
38,798665352.4859025,up
38,622806056.3480145,mean
38,427113057.24765325,down
43,741663300.4249547,up
43,529940119.7604791,mean
43,355248913.37717545,down
48,848157184.6370118,up
48,587187304.6157418,mean
48,408657435.0853951,down
53,867582284.4124161,up
53,718427515.260115,mean
53,504529076.24941456,down
58,829695099.2906659,up
58,600201104.7871965,mean
58,481497519.7531067,down
63,853379437.3798256,up
63,410082955.7247186,mean
63,275881012.78094673,down
68,700841829.7274156,up
68,636464423.1450986,mean
68,467294672.7205161,down

