x,y,type
3,715697458.3528578
3,395441624.82355,mean
3,305928355.6043887,down
8,442139960.2514181,up
8,243388357.83760786,mean
8,227694743.8155409,down
13,51465688571474767,up
13,336576577.73795795,mean
13,164336150.2043984,down
18,803729257.218569,up
18,412844923.71553993,mean
18,296294979.72176015,down
23,733988269.3208811,up
23,434154296.3588432,mean
23,328465478.51799214,down
28,657884276.6889112,up
28,504083329.5733615,mean
28,350026660.63436186,down
33,847168317.4716027,up
33,605728263.6019673,mean
33,473492866.2605635,down
38,798665352.4859025,up
38,622806056.3480145,mean
38,427113057.24765325,down

