x,y,tuple,type
3,0.006464487846370303,0,mean
3,0.006460562044034447,0,up
3,0.0061936074851964805,0,down
8,0.0004423070631727057,1,mean
8,0.0004423070631727057,1,up
8,0.0004423070631727057,1,down
13,0.003902247521837268,2,mean
13,0.05997317368403836,2,up
13,0.0014630156704943146,2,down
18,0.00600516897307557,3,mean
18,0.10027284326234176,3,up
18,0.003025485000163599,3,down
23,0.05063630712860275,4,mean
23,0.1056263290476658,4,up
23,0.00133869859652566,4,down
28,0.043261033140314736,5,mean
28,0.09472961036411816,5,up
28,0.011569339483756975,5,down
33,0.0193633657212026,6,mean
33,0.06026368305689142,6,up
33,0.0066319887460333,6,down
38,0.022277619655183684,7,mean
38,0.07780809369581576,7,up
38,0.006296986946707221,7,down
43,0.015446723590800503,8,mean
43,0.054992639120620294,8,up
43,0.0027140380148526332,8,down
48,0.009694114567998156,9,mean
48,0.05303366375502995,9,up
48,0.001024634409657466,9,down
53,0.012884483266267524,10,mean
53,0.04132692118951812,10,up
53,0.0009631301730624386,10,down
58,0.002795171263126917,11,mean
58,0.02176072234762978,11,up
58,0.0017155756207675097,11,down
63,2.74806163509708e-05,12,mean
63,0.005981614159060399,12,up
63,-0.0007864690679490991,12,down
68,0.005382275002453639,13,mean
68,0.03192855039748749,13,up
68,0.0005064285013249332,13,down
