x,y,tuple,type
3,325418.1370194817,0,mean
3,527827.7755736986,0,up
3,308550.6671399635,0,down
8,195481.40569209238,1,mean
8,195481.40569209238,1,up
8,195481.40569209238,1,down
13,258311.58255204512,2,mean
13,255901.9439978285,2,up
13,142648.9319496355,2,down
18,239218.2247186317,3,mean
18,386206.1765258609,3,up
18,150061.5982126076,3,down
23,203261.57315570783,4,mean
23,292422.37581173907,4,up
23,77960.3683364308,4,down
28,376951.8281096656,5,mean
28,466108.45461568976,5,up
28,179361.46666388272,5,down
33,374717.5878557557,6,mean
33,589183.7714810716,6,up
33,230139.27460274362,6,down
38,420688.64713620505,7,mean
38,647194.6712325907,7,up
38,174905.51460608482,7,down
43,589551.2726817147,8,mean
43,926900.6702720763,8,up
43,510033.2003925581,8,down
48,515036.22810131335,9,mean
48,707807.3124386629,9,up
48,242747.07147480728,9,down
53,633283.915558247,10,mean
53,753770.0194190977,10,up
53,385099.49677392415,10,down
58,493716.98231400474,11,mean
58,925042.283518824,11,up
58,368411.60134472017,11,down
63,310772.37894385157,12,mean
63,443302.49942577933,12,up
63,199933.18159988307,12,down
68,460362.07220563357,13,mean
68,510956.1295441733,13,up
68,243486.25002610087,13,down
