x,y,tuple,type
3,0.07318657718120812,0,mean
3,0.10540134228187929,0,up
3,0.047682147651006736,0,down
8,0.09136000000000008,1,mean
8,0.1450512751677853,1,up
8,0.09068885906040276,1,down
13,0.10885798657718124,2,mean
13,0.18201234899328864,2,up
13,0.10751677852348997,2,down
18,0.16059167785234904,3,mean
18,0.20622711409395983,3,up
18,0.0914630872483222,3,down
23,0.15460187919463095,4,mean
23,0.19822496644295315,4,up
23,0.08949906040268461,4,down
28,0.1888794630872484,5,mean
28,0.22445208053691282,5,up
28,0.15532456375838932,5,down
33,0.1969836241610739,6,mean
33,0.2600730201342283,6,up
33,0.15134818791946317,6,down
38,0.17019275167785244,7,mean
38,0.20106523489932893,7,up
38,0.10442201342281883,7,down
43,0.1581616107382551,8,mean
43,0.1977621476510068,8,up
43,0.09104966442953023,8,down
48,0.09915489932885907,9,mean
48,0.16358335570469806,9,up
48,0.0884155704697987,9,down
53,0.09786416107382552,10,mean
53,0.11262818791946312,10,up
53,0.08645261744966444,10,down
58,0.09858362416107389,11,mean
58,0.1126808053691276,11,up
58,0.08784536912751685,11,down
63,0.10467758389261746,12,mean
63,0.12212939597315445,12,up
63,0.0885712751677853,12,down
68,0.10607355704697995,13,mean
68,0.12016644295302017,13,up
68,0.08996510067114098,13,down
