x,y,tuple,type
3,115739.48050831664,0,mean
3,139057.8661585409,0,up
3,95113.11050301576,0,down
8,137334.3457642659,1,mean
8,152576.6844797203,1,up
8,90694.70909325343,1,down
13,119467.3276121434,2,mean
14,120368.48665453657,2,up
13,40543.56079599994,2,down
18,133880.1415493058,3,mean
18,202043.0092121663,3,up
18,58545.25136463273,3,down
23,125880.02693448328,4,mean
23,246957.69280362176,4,up
23,68482.35648075193,4,down
28,155540.9103282281,5,mean
28,252401.8968753133,5,up
28,110702.15905671996,5,down
33,229159.4435450364,6,mean
33,286558.5466840498,6,up
33,120639.2641728391,6,down
38,208598.97706270855,7,mean
38,296491.3537443229,7,up
38,129675.21024656504,7,down
43,173691.60016619146,8,mean
43,260685.68317597662,8,up
43,86693.21910056019,8,down
48,186313.5575008238,9,mean
48,287658.84898064437,9,up
48,115464.4049341681,9,down
53,177413.71652889007,10,mean
53,266202.95419705147,10,up
53,116427.16944368827,10,down
58,222328.40012034556,11,mean
58,286899.52578117163,11,up
58,105735.0391839425,11,down
63,171276.0927806989,12,mean
63,234050.63109786666,12,up
63,46609.55028008997,12,down
68,281657.33033424546,13,mean
68,371343.428988954,13,up
68,105872.57697101682,13,down
