x,y,tuple,type
3,227342.39444765745,0,mean
3,267254.6751494119,0,up
3,193560.82513977238,0,down
8,178446.11528822052,1,mean
8,305853.5762483129,1,up
8,104761.90476190472,1,down
13,157191.05455947542,2,mean
13,309169.5585116637,2,up
13,100397.6286871022,2,down
18,343168.01619433187,3,mean
18,406111.4324272219,3,up
18,99093.8885675727,3,down
23,265119.5295932137,4,mean
23,341869.09581646416,4,up
23,163808.5598611914,4,down
28,271491.2280701754,5,mean
28,405048.6793907846,5,up
28,200872.37324079414,5,down
33,323930.01735106984,6,mean
33,500465.1050703681,6,up
33,228759.3984962405,6,down
38,377884.6153846152,7,mean
38,496096.00925390393,7,up
38,256617.5053017156,7,down
43,304441.3919413918,8,mean
43,418037.88316946203,8,up
43,213880.85598611904,8,down
48,330774.0505108925,9,mean
48,521124.92770387494,9,up
48,263235.0106034316,9,down
53,335620.3007518796,10,mean
53,567413.7266242527,10,up
53,261931.27048390202,10,down
58,380374.0119529593,11,mean
58,521597.26238673594,11,up
58,318965.6834393674,11,down
63,280819.83805668005,12,mean
63,512618.0836707152,12,up
63,159547.9082321185,12,down
68,376245.9032195872,13,mean
68,451465.2014652014,13,up
68,301016.96549064945,13,down
