x,y,type
3,294600431.9654428,up
3,206479481.64146864,mean
3,129589632.8293736,down
8,247948164.14686823,up
8,146004319.65442765,mean
8,95896328.29373646,down
13,268682505.399568,up
13,138228941.6846652,mean
13,74298056.1555075,down
18,280777537.7969762,up
18,161555075.59395248,mean
18,116630669.54643625,down
23,279913606.91144705,up
23,184017278.6177106,mean
23,140820734.34125268,down
28,289416846.6522678,up
28,186609071.274298,mean
28,123542116.63066953,down
33,295464362.85097194,up
33,193520518.3585313,mean
33,127861771.05831534,down
38,322246220.3023758,up
38,218574514.0388769,mean
38,146004319.65442765,down
43,343844492.44060475,up
43,230669546.43628508,mean
43,143412526.9978401,down
48,355939524.83801293,up
48,260043196.54427645,mean
43,143412526.9978401,down
53,328293736.5010799,up
53,230669546.43628508,mean
53,167602591.7926566,down
58,330021598.27213824,up
58,230669546.43628508,mean
58,164146868.25053996,down
63,313606911.4470842,up
63,202159827.21382284,mean
63,137365010.79913604,down
68,359395248.3801296,up
68,272138228.9416846,mean
68,134773218.14254862,down

