x,y,type
3,236595744.68085104,up
3,179574468.08510637,mean
3,76595744.68085104,down
8,187234042.55319148,up
8,150638297.87234038,mean
8,129361702.12765956,down
13,209361702.12765956,up
13,118297872.34042549,mean
13,58723404.25531912,down
18,263829787.23404256,up
18,175319148.93617016,mean
18,66382978.72340423,down
23,183829787.23404258,up
23,177872340.42553186,mean
23,129361702.12765956,down
28,243404255.31914893,up
28,123404255.31914896,mean
28,78297872.34042549,down
33,248510638.2978723,up
33,171914893.61702126,mean
33,102127659.57446808,down
38,234893617.0212766,up
38,163404255.31914896,mean
38,102127659.57446808,down 
43,150638297.87234038,up
43,142978723.40425533,mean
43,52765957.44680846,down
48,236595744.68085104,up
48,171063829.787234,mean
48,115744680.85106379,down
53,239999999.99999997,up
53,150638297.87234038,mean
53,66382978.72340423,down
58,216170212.76595742,up
58,117446808.5106383,mean
58,53617021.27659577,down
63,151489361.70212764,up
63,88510638.2978723,mean
63,17872340.425531924,down
68,225531914.89361703,up
68,199148936.17021275,mean
68,141276595.74468088,down

